mail.ru,mail.ru/,Почта Mail.Ru,6237850,75
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,5450458,82
Lenta,lenta.ru,Lenta.Ru,3790733,79
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",3728366,87
kp,kp.ru,Комсомольская правда-Digital,3679986,72
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3405559,81
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,3071134,80
mic_izvestia,iz.ru,Известия,2583460,83
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,2339432,84
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2078131,75
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1771921,73
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1642536,86
drom,www.drom.ru,Дром - цены на машины,1533935,90
TASS_total,tass.ru,ТАСС - Новости в России и мире,1513842,85
russian.rt.com,russian.rt.com/,RT на русском,1479086,81
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1456683,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1414286,89
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1387078,78
sm-news.ru,sm-news.ru/,РИА &quot;SM News&quot;,1320590,63
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,1297556,93
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1195157,79
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,1122786,89
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,1057000,66
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,1055255,76
riafan.ru,riafan.ru/,Федеральное агентство новостей,1038686,77
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1035829,72
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,1001636,83
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",953334,78
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,841557,81
mail-my,my.mail.ru/,Мой Мир Mail.Ru,826311,72
mail.ru,mail.ru/,Почта Mail.Ru,6237850,75
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,5450458,82
Lenta,lenta.ru,Lenta.Ru,3790733,79
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",3728366,87
kp,kp.ru,Комсомольская правда-Digital,3679986,72
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3405559,81
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,3071134,80
mic_izvestia,iz.ru,Известия,2583460,83
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,2339432,84
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2078131,75
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1771921,73
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1642536,86
drom,www.drom.ru,Дром - цены на машины,1533935,90
TASS_total,tass.ru,ТАСС - Новости в России и мире,1513842,85
russian.rt.com,russian.rt.com/,RT на русском,1479086,81
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1456683,82
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1414286,89
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1387078,78
sm-news.ru,sm-news.ru/,РИА &quot;SM News&quot;,1320590,63
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,1297556,93
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1195157,79
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,1122786,89
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,1057000,66
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,1055255,76
riafan.ru,riafan.ru/,Федеральное агентство новостей,1038686,77
